iter	Passed	Remaining
783	12965	3572
784	12980	3555
785	12995	3538
786	13008	3520
787	13025	3504
788	13041	3487
789	13056	3470
790	13070	3453
791	13085	3436
792	13100	3419
793	13114	3402
794	13131	3386
795	13150	3370
796	13164	3352
797	13179	3336
798	13193	3319
799	13208	3302
800	13224	3285
801	13251	3271
802	13273	3256
803	13289	3239
804	13304	3222
805	13319	3205
806	13335	3189
807	13349	3172
808	13364	3155
809	13379	3138
810	13394	3121
811	13408	3104
812	13423	3087
813	13440	3071
814	13456	3054
815	13470	3037
816	13486	3020
817	13503	3004
818	13518	2987
819	13533	2970
820	13551	2954
821	13566	2937
822	13581	2920
823	13598	2904
824	13612	2887
825	13628	2870
826	13644	2854
827	13660	2837
828	13674	2820
829	13688	2803
830	13704	2787
831	13720	2770
832	13738	2754
833	13755	2737
834	13770	2721
835	13785	2704
836	13802	2687
837	13816	2670
838	13833	2654
839	13850	2638
840	13868	2622
841	13882	2604
842	13896	2588
843	13909	2571
844	13924	2554
845	13938	2537
846	13954	2520
847	13969	2504
848	13987	2487
849	14004	2471
850	14020	2454
851	14036	2438
852	14052	2421
853	14071	2405
854	14084	2388
855	14100	2372
856	14114	2355
857	14128	2338
858	14143	2321
859	14157	2304
860	14170	2287
861	14186	2271
862	14200	2254
863	14215	2237
864	14232	2221
865	14247	2204
866	14263	2188
867	14279	2171
868	14293	2154
869	14310	2138
870	14324	2121
871	14339	2104
872	14352	2087
873	14368	2071
874	14383	2054
875	14397	2037
876	14414	2021
877	14428	2004
878	14442	1988
879	14459	1971
880	14473	1954
881	14490	1938
882	14509	1922
883	14528	1906
884	14544	1889
885	14559	1873
886	14577	1857
887	14591	1840
888	14605	1823
889	14623	1807
890	14636	1790
891	14653	1774
892	14668	1757
893	14684	1741
894	14698	1724
895	14713	1707
896	14730	1691
897	14745	1674
898	14764	1658
899	14781	1642
900	14796	1625
901	14815	1609
902	14832	1593
903	14848	1576
904	14861	1560
905	14878	1543
906	14892	1526
907	14906	1510
908	14923	1494
909	14938	1477
910	14952	1460
911	14967	1444
912	14982	1427
913	14996	1411
914	15011	1394
915	15026	1377
916	15041	1361
917	15057	1344
918	15074	1328
919	15089	1312
920	15103	1295
921	15118	1279
922	15134	1262
923	15151	1246
924	15166	1229
925	15181	1213
926	15194	1196
927	15211	1180
928	15225	1163
929	15241	1147
930	15258	1130
931	15273	1114
932	15288	1097
933	15303	1081
934	15319	1065
935	15337	1048
936	15355	1032
937	15371	1016
938	15388	999
939	15405	983
940	15421	966
941	15437	950
942	15450	933
943	15464	917
944	15481	901
945	15496	884
946	15511	868
947	15528	851
948	15544	835
949	15560	818
950	15575	802
951	15591	786
952	15605	769
953	15620	753
954	15636	736
955	15650	720
956	15663	703
957	15678	687
958	15692	670
959	15707	654
960	15721	638
961	15737	621
962	15753	605
963	15770	588
964	15785	572
965	15801	556
966	15815	539
967	15830	523
968	15845	506
969	15866	490
970	15883	474
971	15901	458
972	15916	441
973	15931	425
974	15948	408
975	15966	392
976	15984	376
977	16000	359
978	16021	343
979	16040	327
980	16057	311
981	16078	294
982	16096	278
983	16115	262
984	16135	245
985	16154	229
986	16174	213
987	16192	196
988	16213	180
989	16232	163
990	16250	147
991	16271	131
992	16289	114
993	16310	98
994	16330	82
995	16347	65
996	16365	49
997	16389	32
998	16410	16
999	16433	0
